"Name";"Ingredients";"Energy_kcal";"Fat_g";"Carbohydrates_g";"Fiber_g";"Protein_g"
"biala-fasola-z-kurczakiem-i-marchewka-w-sosie-pomidorowym";c("fasola biała", "kurczak filety z piersi", "cebula dymka", "ząbek czosnku", "marchew", "kukurydza konserwowa", "pomidory krojone z puszki", "olej", "sól", "papryka mielona słodka", "papryka mielona ostra", "natka pietruszki", "papryczka chili czerwona", "papryka spiczasta (ramiro)");"440,9";"7,6";"37,5";"10,2";"34,9"
"pierogi-ukrainskie-klasyczny-przepis";c("mąka pszenna", "woda", "olej", "sól", "ziemniak", "ser twaróg półtłusty", "słonina", "cebula", "ząbek czosnku", "miód", "pieprz czarny", "sól");"882,9";"36,3";"121,4";"2,2";"21,4"
"ryba-po-japonsku";c("dorsz filet", "mąka pszenna", "papryka konserwowa", "ogórek konserwowy", "olej", "cebula", "jajko", "sól", "pieprz czarny", "koncentrat pomidorowy", "passata pomidorowa", "woda", "cukier", "ocet", "olej", "sól", "pieprz czarny");"373,4";"16,7";"31,6";"1,9";"23,2"
"wegetarianska-zapiekanka-pasterska";c("ziemniak", "masło", "sól", "oliwa z oliwek", "cebula", "ząbek czosnku", "papryczka chili czerwona", "koncentrat pomidorowy", "sól", "pieprz czarny", "papryka wędzona mielona", "soczewica zielona", "bulion warzywny", "tymianek świeży", "marchew z groszkiem, mrożona");"346,7";"7";"52,5";"2,8";"14,4"
"makaron-fusilloni-z-tunczykiem-i-karczochami";c("makaron fusilloni", "oliwa z oliwek", "cebula", "pomidorki koktajlowe", "ząbek czosnku", "filety z tuńczyka białego w oliwie", "marynowane serce karczocha", "bazylia świeża", "natka pietruszki", "sól", "pieprz czarny");"750,8";"24,9";"101,5";"5,9";"27"
"makaron-z-boczkiem-i-brukselka";c("makaron tagliatelle", "boczek wędzony", "śmietana 30%", "brukselka", "grana padano, tarty", "sól", "pieprz czarny");"1185,9";"66";"115";"7,7";"36,3"
"jednogarnkowy-kociolek-z-kielbasa-i-cukinia";c("kiełbasa śląska", "cukinia", "cebula", "ząbek czosnku", "papryka czerwona", "masło klarowane", "pomidory krojone z puszki", "bulion drobiowy", "koncentrat pomidorowy", "papryka mielona ostra", "papryka mielona słodka", "sól", "pieprz czarny");"491,4";"31,7";"33,9";"8,6";"21,7"
"szybki-makaron-chow-mein-z-tofu-i-marynowanym-imbirem";c("makaron chow mein", "olej", "cebula", "imbir świeży", "ząbek czosnku", "marchew", "papryka czerwona", "sos sojowy", "olej sezamowy", "tofu", "imbir marynowany różowy", "sól", "pieprz czarny");"419,9";"14,9";"57,7";"5,4";"14,5"
"kopytka-z-dyni";c("dynia piżmowa", "ziemniak", "mąka pszenna", "mąka ziemniaczana", "jajko", "sól", "masło", "szałwia świeża", "parmezan", "sól", "pieprz czarny");"440,9";"18,9";"57,4";"3,8";"11,2"
"pesto-z-jarmuzu";c("jarmuż", "parmezan", "oliwa z oliwek", "orzeszki piniowe", "sok z cytryny", "ząbek czosnku", "sól", "pieprz czarny");"263";"24,4";"4,2";"1,1";"8,8"
"pesto-ze-szpinaku";c("szpinak świeży", "parmezan", "oliwa z oliwek", "orzech włoski", "ząbek czosnku", "sól", "pieprz czarny");"239,9";"22,5";"2,3";"0,9";"8,8"
"pesto-z-suszonych-pomidorow";c("pomidor suszony", "oliwa z oliwek", "migdały płatki", "parmezan", "ząbek czosnku", "sól", "pieprz czarny");"273,6";"19,3";"18,5";"3,7";"8,4"
"pesto-z-lisci-rzodkiewki";c("rzodkiewka", "oliwa z oliwek", "orzech nerkowca", "parmezan", "ząbek czosnku", "sok z cytryny", "sól", "pieprz czarny");"244,7";"21,5";"5,7";"0,7";"8,4"
"pesto-z-pietruszki";c("natka pietruszki", "parmezan", "orzeszki piniowe", "oliwa z oliwek", "ząbek czosnku", "sól", "pieprz czarny");"251,4";"23,8";"4";"1";"7,7"
"pesto-z-papryki";c("papryka czerwona", "parmezan", "nasiona słonecznika", "oliwa z oliwek", "ząbek czosnku", "sok z cytryny", "sól", "pieprz czarny");"293,9";"23,2";"11,6";"3,8";"11,2"
"pesto-z-kolendry";c("kolendra świeża", "oliwa extra virgin", "parmezan", "sok z limonki", "ząbek czosnku", "sól", "pieprz czarny", "orzechy ziemne prażone");"133,3";"9,3";"3,5";"1";"8,3"
"pesto-z-rukoli";c("rukola", "oliwa extra virgin", "orzeszki piniowe", "parmezan", "ser pecorino", "ząbek czosnku", "sól", "pieprz czarny");"167,2";"14,8";"3,7";"0,9";"6,9"
"jak-zrobic-klasyczne-pesto-z-bazylii";c("bazylia świeża", "oliwa extra virgin", "parmezan", "orzeszki piniowe", "ząbek czosnku", "sól", "pieprz czarny");"150,5";"12,5";"3,4";"0,8";"7,7"
"pieczona-szynka-z-sosem-cebulowym";c("szynka wieprzowa", "cebula", "olej", "pomarańcza", "rozmaryn świeży", "anyż gwiazdki", "cynamon", "miód", "pieprz czarny, ziarnisty", "wino białe, wytrawne", "masło", "musztarda francuska");"265,3";"11,4";"14,1";"5,4";"22,6"
"makaron-z-kurczakiem-w-sosie-pomidorowym";c("makaron tagliatelle", "pojedynczy filet z kurczaka", "pomidory z puszki", "cebula", "ząbek czosnku", "oliwa z oliwek", "parmezan", "oregano świeże", "bazylia świeża", "sól", "pieprz czarny");"480,7";"11,2";"53,8";"2,6";"27,6"
"pulpety-z-indyka-w-sosie-pomidorowym";c("mięso indycze mielone", "bułka", "mleko", "jajko", "cebula", "olej", "sól", "pieprz czarny", "pomidory krojone z puszki", "bulion", "koncentrat pomidorowy", "ząbek czosnku", "cebula", "oliwa z oliwek", "sól", "pieprz czarny");"524,4";"28,7";"36,9";"4,4";"31"
"kurczak-w-sosie-pomidorowym";c("pojedynczy filet z kurczaka", "pomidory z puszki", "wino białe", "parmezan", "oliwa z oliwek", "cebula", "sok z cytryny", "ząbek czosnku", "sól", "pieprz czarny", "oregano suszone", "bazylia suszona");"462";"15,5";"11,4";"3,6";"39,3"
"risotto-klasyczny-przepis";c("ryż arborio", "bulion drobiowy", "parmezan", "wino białe", "ząbek czosnku", "cebula", "oliwa z oliwek", "masło", "sól", "pieprz czarny");"408,1";"22,5";"31,3";"0,5";"15,2"
"roladki-z-kurczaka-ze-szpinakiem";c("pierś z kurczaka", "szpinak świeży", "ser feta", "bulion warzywny", "oliwa z oliwek", "masło", "ząbek czosnku", "sól", "pieprz czarny");"355,3";"16,3";"2,8";"0,1";"46,7"
