"Name";"Ingredients";"Energy_kcal";"Fat_g";"Carbohydrates_g";"Fiber_g";"Protein_g"
"peczotto-z-burakiem-i-kozim-serem";c("wino białe", "bulion warzywny", "cebula", "ząbek czosnku", "kasza pęczak", "burak", "oliwa z oliwek", "ser kozi", "natka pietruszki");"477,6";"15,5";"65,1";"17,1";"17,1"
"empanada-galicyjska";c("cebula", "pieprz czarny", "papryka czerwona", "liść laurowy", "oliwki zielone", "papryka wędzona mielona", "papryka zielona", "tuńczyk w oleju", "pomidory krojone z puszki", "ząbek czosnku", "cukier trzcinowy", "drożdże suszone", "sól", "woda", "mąka pszenna", "jajko", "oliwa z oliwek");"582,1";"15";"67,4";"44";"44"
"pstrag-pieczony-na-ognisku-na-salsie-z-papryki-i-suszonych-sliwek";c("cukier", "woda", "igły sosnowe", "pieprz czarny", "papryka czerwona", "oliwa z oliwek", "sól", "śliwka suszona", "szczypior cebuli", "ząbek czosnku", "sól", "igły sosnowe", "pstrąg łososiowy swieży filet");"300,3";"14,4";"14,9";"28,2";"28,2"
"weganska-musaka";c("bakłażan", "cukinia", "oliwa z oliwek", "ziemniak", "cebula", "cukier trzcinowy", "cynamon", "papryka czerwona", "oliwa z oliwek", "orzech włoski", "pieczarka", "pieprz czarny", "pomidory krojone z puszki", "seler naciowy", "papryka wędzona mielona", "sos sojowy", "sól", "oregano suszone", "tymianek suszony", "tofu, wędzone", "soczewica zielona", "gałka muszkatołowa mielona", "mąka pszenna", "napój sojowy", "oliwa z oliwek", "pieprz czarny", "sól", "oliwa z oliwek", "bazylia świeża"
);"734,1";"39,9";"66,7";"35,6";"35,6"
"glazurowana-piers-kaczki-z-czerwona-kapusta-i-pyzami";c("ocet balsamiczny", "pieprz czarny", "miód", "kaczka pierś", "cebula", "pieprz czarny", "kapusta czerwona", "miód", "sól", "tymianek świeży", "woda", "kluski na parze");"499,2";"6,4";"79,2";"29,2";"29,2"
"gulasz-z-soczewicy-z-pieczona-wolowina";c("cebula", "papryczka chili czerwona", "kumin", "kolendra ziarna", "pieprz czarny, ziarnisty", "pomidor suszony", "sok z limonki", "kolendra świeża", "gorczyca", "soczewica czerwona", "ząbek czosnku", "miód", "pieprz czarny, ziarnisty", "sos sojowy", "gorczyca", "polędwica wołowa", "olej po suszonych pomidorach");"979,6";"31,1";"113,6";"64,3";"64,3"
"paglia-e-fieno-makaron-z-groszkiem";c("cebula", "groszek, mrożony", "sól", "grana padano, tarty", "suszona wołowina", "makaron fettuccine");"692";"12,9";"89,8";"51,5";"51,5"
"aglio-olio-e-peperoncino-makaron-z-chili";c("ząbek czosnku", "makaron spaghetti", "natka pietruszki", "oliwa z oliwek", "papryczka chili czerwona", "pieprz czarny", "sól");"652,6";"33,6";"75,6";"12,8";"12,8"
"cacio-e-pepe-makaron-z-serem-i-pieprzem";c("pieprz czarny", "makaron spaghetti", "parmiggiano reggiano", "ser pecorino", "sól");"552,5";"16,3";"74";"26,6";"26,6"
"watrobka-drobiowa-z-cebula-i-jablkiem";c("ocet balsamiczny", "cebula", "pieprz czarny", "papryczka chili czerwona", "masło", "miód", "olej rzepakowy", "rozmaryn świeży", "sól", "kurczak wątróbka", "ząbek czosnku", "jabłko czerwone");"290,2";"16,2";"25,3";"12";"12"
"warzywna-zapiekanka-z-serem-feta";c("bakłażan", "ciasto francuskie", "cukinia", "marchew", "oliwa z oliwek", "pieprz czarny", "ser feta", "sól", "pesto", "orzeszki piniowe", "ser feta");"566,3";"38,5";"41,1";"16,7";"16,7"
"zapiekanka-z-dyni-z-chipsami-z-pietruszki";c("bułka tarta", "ząbek czosnku", "dynia hokkaido", "masło", "gałka muszkatołowa mielona", "kminek mielony", "grana padano, tarty", "korzeń pietruszki", "sól", "majeranek suszony", "śmietana 30%", "bazylia świeża");"229,1";"17,6";"13,8";"6,6";"6,6"
"kotlety-ziemniaczane-a-la-farszynki";c("cebula", "natka pietruszki", "pieczarka", "pieprz czarny", "sól", "pomidor suszony", "majeranek suszony", "ser twaróg tłusty", "jajko", "mąka pszenna", "mąka ziemniaczana", "pieprz czarny", "sól", "ziemniak", "cebula", "pieprz czarny", "sól", "śmietana 30%", "ser twaróg tłusty", "mąka pszenna", "olej");"415,7";"22,2";"48,6";"5,7";"14,3"
"dorsz-w-owsianej-panierce-z-frytkami-z-warzyw";c("cukinia", "marchew", "papryka mielona słodka", "oliwa z oliwek", "parmezan tarty", "pieprz czarny", "korzeń pietruszki", "bazylia suszona", "oregano suszone", "bułka tarta", "dorsz filet", "jajko", "płatki owsiane", "świeży koperek", "awokado", "jogurt grecki", "pieprz czarny", "ogórek kiszony");"524,1";"19,1";"51,9";"38,1";"38,1"
"szare-kluski";c("cebula", "pomidor suszony", "olej po suszonych pomidorach", "cebula", "pieprz czarny", "kumin", "miód", "rozmaryn świeży", "kapusta kwaszona", "ząbek czosnku", "pieprz czarny", "jajko", "mąka żytnia", "sól", "ziemniak", "mąka pszenna");"289";"15,6";"32,6";"6,1";"6,1"
"sushi-hosomaki-futomaki-uramaki-nigiri";c("awokado", "bazylia świeża", "cukier", "mango", "ogórek", "sos sojowy", "sól", "tuńczyk świeży", "woda", "łosoś wędzony", "łosoś filet, bez skóry", "sezam czarny", "ocet ryżowy", "serek śmietankowy", "ryż do sushi", "wasabi", "liście alg morskich");"483,8";"16,2";"59,6";"26,8";"26,8"
"brukselka-pod-beszamelem-i-parmezanem";c("brukselka", "cukier", "ząbek czosnku", "oliwa z oliwek", "pieprz czarny", "sól", "tymianek suszony", "gałka muszkatołowa mielona", "masło", "mąka pszenna pełnoziarnista", "mleko", "pieprz czarny", "sól", "bułka tarta", "parmezan");"660,9";"39,2";"60,3";"12,9";"24,2"
"pasztet-z-karpia-z-suszonymi-owocami";c("bułka tarta", "cebula", "karp filet", "gałka muszkatołowa mielona", "jajko", "kasza jęczmienna", "masło", "olej słonecznikowy", "pieprz biały", "sól", "morele suszone", "żurawina suszona", "majeranek suszony", "świeży koperek", "chrzan tarty", "dżem malinowy");"1816,3";"76,1";"250,0";"43,8";"43,8"
"karp-pieczony-w-ziolowej-panierce";c("bułka tarta", "pieprz czarny", "jajko", "natka pietruszki", "płatki owsiane", "sól", "tymianek suszony", "żurawina suszona", "karp filet", "mąka pszenna");"524,2";"20,7";"25,3";"56,3";"56,3"
"sledzie-po-kaszubsku";c("cebula", "ogórek kiszony", "koncentrat pomidorowy", "liść laurowy", "miód", "natka pietruszki", "ocet", "olej z pestek winogron", "pieprz czarny", "sól", "śledzie matiasy", "woda", "ziele angielskie");"341,1";"19";"25,8";"18,5";"18,5"
"weganska-ryba-po-grecku";c("cebula", "cukier trzcinowy", "cynamon", "pieprz czarny", "korzeń pietruszki", "liść laurowy", "marchew", "oliwa z oliwek", "przecier pomidorowy", "seler", "sól", "woda", "ziele angielskie", "curry", "pieprz czarny", "mąka ziemniaczana", "olej rzepakowy", "sól", "woda gazowana", "tofu", "mąka pszenna", "liście alg morskich");"414,7";"19,4";"42,4";"19,1";"19,1"
"ciasto-na-pierogi";c("masło", "mąka pszenna", "mleko", "woda");"2004,8";"34,8";"368,5";"54,9";"54,9"
"faszerowana-dynia-pizmowa";c("ząbek czosnku", "dynia piżmowa", "kasza jęczmienna", "mięso indycze mielone", "pieprz czarny", "pomidory krojone z puszki", "natka pietruszki", "grana padano", "szalotka", "zioła prowansalskie");"480,1";"12,3";"72,3";"27,8";"27,8"
"wolno-pieczona-karkowka-w-przyprawach-korzennych";c("cynamon", "mięso wieprzowe karkówka", "miód", "olej rzepakowy", "skórka z pomarańczy, tarta", "sok z pomarańczy", "musztarda dijon", "ząbek czosnku", "kardamon, mielony", "pieprz czarny", "kalarepa", "miód", "olej rzepakowy", "skórka cytryny tarta", "sok z pomarańczy", "sok z cytryny", "sól", "jabłko czerwone", "olej rzepakowy", "natka pietruszki", "żurawina suszona");"226,1";"9,2";"35";"3,4";"3,4"
"boczniaki-po-azjatycku";c("boczniaki", "papryczka chili czerwona", "fasola szparagowa", "marchew", "natka pietruszki", "kolendra świeża", "limonka", "makaron chow mein", "orzech nerkowca", "sos sojowy", "syrop klonowy", "olej sezamowy", "ocet ryżowy", "sos ostrygowy", "ząbek czosnku");"686,4";"12,4";"124,8";"24,6";"24,6"
"karmelizowana-brukselka";c("brukselka", "pieprz czarny", "papryczka chili czerwona", "miód", "skórka cytryny tarta", "sok z cytryny", "tymianek świeży", "woda", "ząbek czosnku", "skórka cytryny tarta", "tymianek świeży");"78,2";"0,5";"18,1";"2,8";"2,8"
"pieczone-pulpety-drobiowe-z-sosem-grzybowym";c("cebula", "ząbek czosnku", "masło", "podgrzybki", "pieprz czarny", "śmietana 30%", "majeranek suszony", "kasza jęczmienna", "mięso mielone, drobiowe", "natka pietruszki", "pieprz czarny", "sól", "bazylia świeża", "tymianek świeży", "brokuł", "olej rzepakowy", "pomidorki koktajlowe");"478,4";"27,1";"37,4";"25,4";"25,4"
"kopytka-z-bulka-tarta";c("jajko", "ziemniak", "mąka pszenna", "bułka tarta", "masło");"213,7";"3,5";"38,2";"7,2";"7,2"
"domowe-tacos-z-krewetkami-mango-i-chili";c("kapusta biała", "cebula czerwona", "pieprz czarny", "papryczka chili czerwona", "jogurt naturalny", "majonez", "mango", "olej", "sól", "sok z limonki", "kolendra świeża", "wegańskie szpecle", "ząbek czosnku", "papryczka chili czerwona", "kolendra świeża", "limonka", "mąka kukurydziana", "sól", "woda", "mąka pszenna");"853";"21,3";"150,4";"19,7";"19,7"
"domowy-kebab-drobiowy";c("cynamon", "ząbek czosnku", "jogurt grecki", "kminek cały", "kolendra mielona", "oliwa z oliwek", "papryka mielona ostra", "pieprz czarny", "papryka mielona słodka", "sok z cytryny", "sól", "cebula", "kurczak filety z piersi", "chlebek pita", "cebula czerwona", "sałata rzymska", "sos tzatziki");"486,5";"28,8";"45,3";"16,1";"16,1"
"lekkostrawne-klopsiki-na-parze-i-solianka";c("cebula", "korzeń pietruszki", "liść laurowy", "marchew", "olej", "pieprz czarny", "por", "seler", "ziele angielskie", "kasza jaglana", "marchew", "mięso indycze mielone", "natka pietruszki", "olej rzepakowy", "pieprz czarny", "tymianek świeży", "cebula", "ząbek czosnku", "jogurt naturalny", "ogórek kiszony", "musztarda", "olej rzepakowy", "ząbek czosnku", "kalafior", "natka pietruszki", "olej rzepakowy", "pieprz czarny", "tymianek świeży", "ząbek czosnku", "kalafior", "kasza jaglana", 
"ogórek kiszony", "seler", "marchew", "mięso indycze mielone", "natka pietruszki", "majeranek suszony", "bulion warzywny");"2723,3";"106,5";"333,1";"143,7";"143,7"
"grillowane-warzywa-z-kurczakiem-i-pomysly-na-jadlospis";c("bazylia świeża", "chrzan tarty", "pieprz czarny", "jogurt grecki", "oliwa z oliwek", "sok z cytryny", "sól", "szczypior cebuli", "syrop z agawy", "brokuł", "cebula czerwona", "cukinia", "pieprz czarny", "papryczka chili czerwona", "papryka czerwona", "kolba kukurydzy", "oliwa z oliwek", "rozmaryn świeży", "sól", "pieczarki brązowe", "bułka tarta", "pieprz czarny", "kurczak filety z piersi", "musztarda", "oliwa z oliwek", "natka pietruszki", "sól", "parmezan tarty", "ząbek czosnku", 
"nasiona słonecznika", "oliwa z oliwek", "natka pietruszki", "parmezan tarty", "makaron z soczewicy");"679,2";"34,3";"43,7";"39,9";"39,9"
"pieczona-ges-z-jablkami-i-czerwona-kapusta";c("cebula", "kapusta czerwona", "miód", "tymianek świeży", "wiśnia", "woda", "żurawina suszona", "cytryna", "pieprz czarny", "miód", "rozmaryn świeży", "sól", "tymianek świeży", "woda", "gęś", "jabłko czerwone", "sól", "woda");"623";"18,8";"57,7";"59,4";"59,4"
"faszerowane-papryki-na-halloween";c("bazylia świeża", "cebula", "cukier trzcinowy", "pieprz czarny", "pomidor czerwony", "marchew", "oliwa z oliwek", "pomidorki koktajlowe", "przecier pomidorowy", "seler naciowy", "ser feta", "sól", "mięso indycze mielone", "papryka pomarańczowa", "ząbek czosnku");"426,9";"19,6";"32,7";"8,4";"30,7"
"kolorowa-zapiekanka";c("brokuł", "cukinia", "jajko", "bazylia świeża", "marchew", "mąka pszenna pełnoziarnista", "szynka gotowana", "ser żółty");"272,6";"13,5";"18,5";"5,8";"21,9"
"risotto-alla-milanese";c("bazylia świeża", "brokuł", "pieprz czarny", "oliwa z oliwek", "parmezan", "szynka parmeńska", "pomidor malinowy", "bulion warzywny", "masło", "parmezan", "rozmaryn świeży", "sok z cytryny", "szafran", "szalotka", "wino białe", "szynka parmeńska", "olej z pestek winogron", "ryż do risotto", "ząbek czosnku");"465,8";"27,2";"37,6";"14,8";"14,8"
"jadlospis-malucha-4-przepisy";c("banan", "jogurt grecki", "masło", "mąka pszenna pełnoziarnista", "gruszka", "proszek do pieczenia", "woda", "jabłko czerwone", "jajko", "kasza jaglana", "marchew", "mięso indycze mielone", "sok z cytryny", "szczypior cebuli", "szpinak baby", "banan", "gruszka", "jogurt naturalny", "mango", "płatki owsiane", "szpinak baby", "ogórek", "bazylia świeża", "łosoś filet, bez skóry", "świeży koperek", "marchew", "oliwa z oliwek", "płatki owsiane", "skórka cytryny tarta", "szpinak baby", 
"ziemniak");"3688,6";"137,1";"449,8";"195,6";"195,6"
"spaghetti-z-klopsikami-i-sosem-pomidorowym";c("bazylia świeża", "pieprz biały", "cebula", "pieprz czarny", "kasza manna", "lubczyk świeży", "olej rzepakowy", "oliwa z oliwek", "pomidor suszony", "tymianek świeży", "mięso indycze mielone", "pomidory krojone z puszki", "ser gorgonzola", "spaghetti pełnoziarniste", "ząbek czosnku");"1864,8";"82,8";"171,2";"31,8";"117,4"
"bezglutenowe-pyzy-ze-sliwkami";c("mąka pszenna", "mąka kukurydziana", "miód", "mleko", "masło", "sól", "drożdże świeże", "cynamon", "miód", "śliwka");"174,4";"4,5";"31,6";"3,3";"3,3"
"pizza-bianca-z-kurkami";c("cukier", "drożdże świeże", "oliwa z oliwek", "sól", "woda", "mąka pszenna typ 550", "cukinia", "pieprz czarny", "pieprz czarny", "kurki", "oliwa z oliwek", "szałwia świeża", "ser gorgonzola", "groszek cukrowy", "śmietana 22%");"358,6";"11,2";"53";"10,6";"10,6"
"makaron-z-sosem-grzybowym";c("bazylia świeża", "pieprz czarny", "grzyby suszone", "oliwa z oliwek", "por", "rozmaryn świeży", "ser mascarpone", "skórka cytryny tarta", "sok z cytryny", "sól", "woda", "żurawina suszona", "makaron tagliatelle", "śmietana 30%", "ząbek czosnku");"723,2";"33,7";"89,3";"2,4";"16"
"kotleciki-z-ciecierzycy-i-mlodej-kapusty";c("kapusta biała", "cebula dymka", "ciecierzyca", "pieprz czarny", "jajko", "kasza manna", "mięta świeża", "natka pietruszki", "pomidor suszony", "ser feta", "ząbek czosnku", "cebula dymka", "ser feta", "sok z cytryny", "pieprz czarny", "mięta świeża", "skórka cytryny tarta", "śmietana 18%", "olej");"2047,6";"221,8";"14,2";"7,8";"7,8"
"pieczone-warzywa-z-sosem-jogurtowym";c("cebula czerwona", "papryczka chili czerwona", "papryka czerwona", "korzeń pietruszki", "marchew", "oliwa z oliwek", "pomidorki koktajlowe", "seler", "kolendra świeża", "ząbek czosnku", "pieprz czarny", "jogurt naturalny", "kolendra świeża", "orzeszki piniowe", "ząbek czosnku", "pieprz czarny", "mięta świeża", "ser feta", "limonka");"495,4";"22,8";"58";"18,3";"20,7"
"kurczak-teriyaki-z-warzywami";c("cebula dymka", "pieprz czarny", "kurczak filety z piersi", "goździki", "imbir świeży", "olej rzepakowy", "por", "sok z limonki", "limonka", "groszek cukrowy", "imbir świeży", "sos sojowy", "sok z limonki", "limonka", "syrop daktylowy", "ząbek czosnku");"428,1";"10,3";"41,4";"26,4";"26,4"
"nalesniki-orkiszowe-z-miodem";c("jajko", "miód", "sól", "olej kokosowy", "napój migdałowy", "mąka orkiszowa", "malina", "mięta świeża", "miód", "olej kokosowy");"183,9";"7,1";"25,7";"5,1";"5,1"
"pieczony-mielony-o-obnizonej-zawartosci-soli";c("ząbek czosnku", "kasza jęczmienna", "cebula", "mięso indycze mielone", "musztarda", "pieprz czarny", "majeranek suszony", "natka pietruszki", "lubczyk świeży", "marchew");"174,4";"6,2";"15";"15,1";"15,1"
"ratatouille-z-sosem-cytrynowo-pomidorowym";c("bakłażan", "cebula", "cukinia", "cytryna", "papryka czerwona", "ząbek czosnku", "bazylia świeża", "masło", "pieprz biały", "oliwa z oliwek", "pomidory krojone z puszki", "ser gorgonzola", "tymianek świeży", "woda", "papryka żółta", "bazylia świeża", "pieprz czarny");"333,2";"20,2";"32,8";"11,1";"11,1"
"cukinia-faszerowana-miesem-mielonym";c("cebula", "cukinia", "curry", "pieprz czarny", "fasola czerwona z puszki", "olej słonecznikowy", "papryka mielona słodka", "sól", "grana padano", "pomidory krojone z puszki", "śmietana 30%", "ząbek czosnku", "mięso mielone wołowo", "mięta świeża", "oliwa z oliwek", "sok z cytryny");"549,8";"40,7";"15,8";"31,6";"31,6"
"weganskie-leczo-ze-sliwka";c("cebula", "cukinia", "papryka czerwona", "ząbek czosnku", "szczypior cebuli", "papryka mielona słodka", "olej z pestek winogron", "pieprz czarny", "pomidor czerwony", "sól", "śliwka suszona", "papryka wędzona mielona", "papryka zielona");"211,7";"8,3";"33,6";"5,2";"5,2"
"2-sposoby-na-krewetki-z-ananasem";c("ananas", "ananas", "pieprz czarny", "papryczka chili czerwona", "masło", "oliwa z oliwek", "oliwa z oliwek", "rum", "sól", "sok z limonki", "kolendra świeża", "limonka", "mleczko kokosowe", "krewetki koktajlowe", "ząbek czosnku", "szpinak baby", "ananas", "pieprz czarny", "papryczka chili czerwona", "papryczka chili czerwona", "oliwa z oliwek", "oliwa z oliwek", "rum", "sól", "sok z limonki", "kolendra świeża", "limonka", "mleczko kokosowe", "krewetki koktajlowe", "ząbek czosnku", "szpinak baby"
);"353,5";"17,1";"21,4";"16,6";"16,6"
"salatka-z-bobem-i-cykoria";c("awokado", "bób", "cykoria", "cytryna", "rzodkiewka", "ogórek", "cytryna", "musztarda dijon", "nasiona chia", "olej rzepakowy", "pieprz czarny", "sól", "syrop klonowy");"360,0";"22,9";"34,7";"11,1";"11,1"
"tarta-z-boczkiem-porem-i-fasolka-szparagowa";c("masło", "mąka pszenna", "sól", "śmietana 30%", "jajko", "cebula dymka", "ząbek czosnku", "fasola szparagowa", "jajko", "por", "olej słonecznikowy", "pieprz biały", "sól", "tymianek suszony", "śmietana 30%", "boczek wędzony w plastrach", "jajko", "mąka pszenna", "oliwa z oliwek", "ryż długoziarnisty", "bazylia świeża", "woda");"749,7";"37,1";"83,6";"3,1";"20,7"
"gryczane-pierogi-z-bobem";c("bób", "pieprz czarny", "gałka muszkatołowa", "oliwa z oliwek", "skórka cytryny tarta", "sól", "szalotka", "grana padano", "pomidory krojone z puszki", "ząbek czosnku", "pieprz czarny", "masło", "skórka cytryny tarta", "sól", "ząbek czosnku", "szpinak baby", "masło", "mleko", "mąka gryczana", "mąka pszenna", "pomidorki koktajlowe", "grana padano", "mąka pszenna");"969";"37,2";"116,7";"44,6";"44,6"
"faszerowana-pizza-z-grilla";c("chili mielone", "pomidor suszony", "grana padano", "mozzarella, tarta", "cukier", "drożdże suszone", "oliwa z oliwek", "sól", "woda", "mąka pszenna", "pieprz czarny", "rukola", "sól", "szynka parmeńska", "mąka pszenna", "burrata", "olej po suszonych pomidorach", "natka pietruszki", "czosnek granulowany");"936,4";"32,2";"115,6";"47,9";"47,9"
"chaczapuri-z-serem-i-sosem-adzika";c("cukier", "masło", "mąka pszenna", "mleko", "sól", "drożdże świeże", "woda", "jajko", "ser labneh", "ser feta", "szczypior cebuli", "mozzarella, tarta", "mąka pszenna", "bazylia świeża", "szczypior cebuli", "mozzarella, tarta", "ząbek czosnku", "papryczka chili czerwona", "papryka czerwona", "oliwa z oliwek", "pieprz czarny", "sól");"2220,1";"106,8";"224,6";"89,4";"89,4"
"wolno-grillowane-zeberka-bbq";c("cebula", "pieprz czarny", "goździki", "miód", "olej rzepakowy", "pieprz cayenne, ziarnisty", "piwo", "pomidory krojone z puszki", "sos worcester", "sól", "ziele angielskie", "pieprz czarny", "rozmaryn świeży", "ser cheddar", "boczek wędzony w plastrach", "kolendra świeża", "rozmaryn świeży", "ziemniak", "żeberka wieprzowe,świeże");"717,8";"43,4";"47,4";"7,7";"38,1"
"3-dania-z-awokado-lody-chlebek-i-makaron";c("awokado", "czekolada gorzka", "kakao", "mąka migdałowa", "soda oczyszczona", "sól", "syrop klonowy", "olej kokosowy", "mleczko kokosowe", "orzech pekan");"1902";"166,5";"96,6";"45,9";"40,8"
"zapiekanka-z-miesem-i-ziemniakami";c("cebula", "pieprz czarny", "gałka muszkatołowa mielona", "korzeń pietruszki", "marchew", "olej słonecznikowy", "pieczarka", "natka pietruszki", "sól", "wino czerwone", "zioła prowansalskie", "ciecierzyca ugotowana", "pomidory krojone z puszki", "ząbek czosnku", "mięso mielone wołowo", "sos worcester", "pieprz czarny", "gałka muszkatołowa mielona", "jajko", "masło", "mleko", "sól", "ziemniak", "ser cheddar");"297,2";"20";"18,6";"10,2";"10,2"
"greckie-kotleciki-nadziewane-feta";c("pieprz czarny", "oregano suszone", "ser feta", "mięso mielone wieprzowe", "boczek wędzony w plastrach", "mięso mielone wołowe", "ząbek czosnku", "pieprz cayenne", "pieprz czarny", "mięta świeża", "ogórek", "pomidor suszony", "skórka cytryny tarta", "sok z cytryny", "sól", "makaron orzo", "mięta świeża", "musztarda", "sok z cytryny", "sól", "olej po suszonych pomidorach", "mięta świeża");"481";"29";"19,8";"35";"35"
"wegetarianskie-enchiladas";c("cukier trzcinowy", "ząbek czosnku", "kumin", "pomidory krojone z puszki", "oliwa z oliwek", "oregano suszone", "papryczka jalapeno", "sól", "cebula dymka", "fasola czerwona z puszki", "ząbek czosnku", "kumin", "kukurydza konserwowa", "tortilla", "ser cheddar", "szpinak baby", "kolendra świeża", "awokado", "papryczka jalapeno");"641,5";"30,9";"68,6";"28";"28"
"pizza-arabska-z-salatka";c("cebula", "pieprz czarny", "papryczka chili czerwona", "pomidor czerwony", "gałka muszkatołowa mielona", "imbir mielony", "oliwa z oliwek", "papryka mielona słodka", "natka pietruszki", "sól", "kolendra świeża", "orzeszki piniowe", "mięso mielone wołowe", "ząbek czosnku", "cebula czerwona", "pieprz czarny", "pomidor czerwony", "oliwa z oliwek", "natka pietruszki", "sok z cytryny", "sól", "cukier", "drożdże suszone", "olej słonecznikowy", "sól", "woda", "mąka pszenna");"278,5";"10,7";"32,2";"13,2";"13,2"
"3-dania-grillowane-w-folii-losos-szparagi-i-mlode-ziemniaki";c("szparagi zielone", "skórka cytryny tarta", "sok z cytryny", "masło", "szynka parmeńska", "oliwa z oliwek", "sól", "pieprz czarny", "bazylia świeża", "kalafior", "olej po suszonych pomidorach", "oregano suszone", "ząbek czosnku", "bazylia świeża", "skórka cytryny tarta", "sól", "pieprz czarny", "łosoś filet, bez skóry", "ząbek czosnku", "oregano suszone", "sól", "olej po suszonych pomidorach", "pomidor suszony", "cytryna", "sos worcester", "szynka parmeńska", "młode ziemniaki", 
"ząbek czosnku", "masło", "majeranek suszony", "sól", "pieprz czarny", "oliwa z oliwek", "jogurt naturalny", "sól", "pieprz czarny", "ser twaróg tłusty", "ząbek czosnku", "skórka cytryny tarta", "sok z cytryny", "olej po suszonych pomidorach", "pieprz biały", "bazylia świeża", "makrela wędzona", "cebula dymka", "szczypior cebuli");"3144,6";"192,0";"198,5";"188,6";"188,6"
"czerstwy-chleb-na-3-sposoby-tarta-spaghetti-i-bulka-na-mleku";c("pieprz czarny", "jajko", "mleko", "pomidorki koktajlowe", "sól", "szczypior cebuli", "zioła prowansalskie", "czerstwe pieczywo pszenne", "olej z pestek winogron", "szpinak baby", "czerstwe pieczywo razowe", "cytryna", "pieprz czarny", "mleko", "oliwa z oliwek", "sól", "spaghetti pełnoziarniste", "szpinak baby", "cukier trzcinowy", "masło", "czerstwe pieczywo pszenne", "ząbek czosnku");"209,7";"11,1";"23,5";"3,4";"3,4"
"pieczony-sandacz-z-cebula-i-kaparami";c("cebula", "pieprz czarny", "papryczka chili czerwona", "kapar", "masło", "sól", "wino białe", "sok z limonki", "syrop z agawy", "kolendra świeża", "limonka", "cebula dymka", "oliwa z oliwek", "sól", "kolendra świeża", "limonka", "pieprz czarny", "kolendra świeża", "sandacz", "limonka");"683,1";"27";"20,2";"86,4";"86,4"
"babka-ziemniaczana-z-boczkiem";c("cebula", "kasza gryczana", "mąka pszenna", "mleko", "olej słonecznikowy", "pieprz czarny", "sól", "majeranek suszony", "boczek wędzony w plastrach", "ziemniak", "cebula dymka", "śmietana 12%", "olej słonecznikowy");"187,9";"10,2";"13,0";"11,6";"11,6"
"kotlety-jajeczne-z-ciecierzyca";c("bułka tarta", "jajko", "jajko", "olej słonecznikowy", "pieczarka", "płatki owsiane", "szczypior cebuli", "ciecierzyca ugotowana", "cukier", "marchew", "ocet", "olej słonecznikowy", "cytryna", "lubczyk świeży", "pieprz czarny", "lubczyk świeży", "majonez", "sok z cytryny", "sól");"568,9";"38,4";"36,6";"19";"19"
"makaron-z-sosem-blue-cheese";c("cebula dymka", "ząbek czosnku", "lazur błękitny", "skórka cytryny tarta", "sól", "pomidor suszony", "śmietana 30%", "bazylia świeża", "makaron bucatini", "pieprz zielony", "cukinia", "pieprz czarny", "skórka cytryny tarta", "sok z cytryny", "sól", "pomidor suszony", "bazylia świeża");"990,0";"53,2";"92,1";"37,8";"37,8"
"schab-z-morelami";c("pieprz czarny", "kolendra ziarna", "papryka mielona ostra", "papryka mielona słodka", "mięso wieprzowe schab", "morele suszone", "sól peklowa");"82,7";"1";"18,6";"1,9";"1,9"
"rolada-z-boczku-z-kolorowym-pieprzem";c("majeranek", "pieprz kolorowy", "boczek surowy", "sól peklowa", "ząbek czosnku");"536,9";"57,5";"0,6";"3,7";"3,7"
"weganskie-krokiety-ze-szpinakiem";c("bułka tarta", "woda", "olej z pestek winogron", "mąka pszenna", "cebula czerwona", "pieprz czarny", "gałka muszkatołowa mielona", "pomidor suszony", "sok z cytryny", "sól", "ząbek czosnku", "szpinak baby", "serek z nerkowców", "pieprz czarny", "sok z cytryny", "sos sojowy", "sól", "orzech nerkowca", "jogurt roślinny", "ząbek czosnku", "pomidorki koktajlowe", "siemię lniane, całe", "sól", "olej z pestek winogron", "olej z pestek winogron", "napój sojowy", "mąka orkiszowa");"623,2";"37,7";"56";"18,7";"18,7"
"pieczony-kurczak-piri-piri";c("bazylia świeża", "pieprz czarny", "kapar", "marchew", "oliwki zielone", "oregano suszone", "natka pietruszki", "seler", "sól", "szalotka", "ziemniak", "kurczak mięso z udka", "bazylia świeża", "koncentrat pomidorowy", "majonez", "sok z limonki", "syrop z agawy", "ząbek czosnku", "sos piri", "bazylia świeża", "oregano suszone", "sok z limonki", "limonka", "olej rzepakowy", "sos sojowy", "sok z limonki", "syrop z agawy", "limonka", "sos piri");"291";"12,4";"31";"13,4";"13,4"
"makaron-z-chorizo-i-krewetkami";c("cebula", "chorizo", "ząbek czosnku", "groszek, mrożony", "krewetki", "makaron tagliatelle", "ser mascarpone", "masło", "natka pietruszki", "pistacje", "pomidorki koktajlowe", "wino białe");"503,4";"20,3";"55,1";"19,5";"19,5"
"kotlet-de-volaille-z-maslem-pieprzowym";c("bułka tarta", "kurczak filety z piersi", "jajko", "olej rzepakowy", "mąka pszenna", "pieprz czarny", "papryczka chili czerwona", "kalarepa", "kapar", "ocet winny", "ogórek", "oliwa z oliwek", "roszponka", "sól", "szalotka", "syrop z agawy", "masło", "oliwa z oliwek", "pieczarka", "szalotka", "wino czerwone", "pieprz zielony");"1298,1";"122,3";"25,7";"16,8";"16,8"
